MONITOR DE ENTRENAMIENTO EN VIVO
========================================
EPOCA | VAL_ACC | VAL_LOSS | TEMP_GPU | ESTADO
----------------------------------------
E00    | 0.5039  | 0.9449   | 51C   | OK
E00    | 0.5275  | 0.9332   | 55C   | OK
E01    | 0.5200  | 0.9329   | 58C   | OK
E02    | 0.5325  | 0.9325   | 60C   | OK
E03    | 0.5275  | 0.9321   | 61C   | OK
E04    | 0.5300  | 0.9318   | 62C   | OK
E05    | 0.5375  | 0.9315   | 62C   | OK
E06    | 0.5375  | 0.9311   | 62C   | OK
E07    | 0.5300  | 0.9308   | 63C   | OK
E08    | 0.5300  | 0.9302   | 60C   | OK
E09    | 0.5425  | 0.9299   | 59C   | OK
E10    | 0.5475  | 0.9296   | 61C   | OK
E11    | 0.5475  | 0.9292   | 62C   | OK
E12    | 0.5475  | 0.9287   | 63C   | OK
E13    | 0.5425  | 0.9283   | 62C   | OK
E14    | 0.5450  | 0.9277   | 61C   | OK
E15    | 0.5425  | 0.9273   | 61C   | OK
E16    | 0.5450  | 0.9270   | 62C   | OK
E17    | 0.5450  | 0.9268   | 59C   | OK
E18    | 0.5500  | 0.9265   | 56C   | OK
E19    | 0.5475  | 0.9263   | 59C   | OK
E20    | 0.5500  | 0.9262   | 55C   | OK
E21    | 0.5475  | 0.9260   | 62C   | OK
E22    | 0.5475  | 0.9258   | 56C   | OK
E23    | 0.5500  | 0.9257   | 56C   | OK
E24    | 0.5500  | 0.9255   | 55C   | OK
E25    | 0.5500  | 0.9254   | 56C   | OK
E26    | 0.5500  | 0.9253   | 59C   | OK
E27    | 0.5500  | 0.9252   | 57C   | OK
E28    | 0.5500  | 0.9252   | 57C   | OK
E29    | 0.5500  | 0.9250   | 56C   | OK
E30    | 0.5500  | 0.9251   | 61C   | OK
E31    | 0.5500  | 0.9250   | 57C   | OK
E32    | 0.5500  | 0.9249   | 56C   | OK
E33    | 0.5500  | 0.9249   | 56C   | OK
E34    | 0.5500  | 0.9248   | 56C   | OK
E35    | 0.5500  | 0.9248   | 60C   | OK
E36    | 0.5500  | 0.9247   | 56C   | OK
E37    | 0.5500  | 0.9247   | 62C   | OK
E38    | 0.5500  | 0.9247   | 60C   | OK
E39    | 0.5500  | 0.9247   | 55C   | OK
E40    | 0.5525  | 0.9247   | 60C   | OK
E41    | 0.5525  | 0.9247   | 61C   | OK
E42    | 0.5525  | 0.9246   | 61C   | OK
E43    | 0.5525  | 0.9246   | 62C   | OK
E44    | 0.5525  | 0.9247   | 57C   | OK
E45    | 0.5550  | 0.9246   | 61C   | OK
E46    | 0.5525  | 0.9246   | 61C   | OK
E47    | 0.5550  | 0.9245   | 57C   | OK
E48    | 0.5525  | 0.9246   | 59C   | OK
E49    | 0.5525  | 0.9245   | 61C   | OK
