MONITOR DE ENTRENAMIENTO EN VIVO
========================================
EPOCA | VAL_ACC | VAL_LOSS | TEMP_GPU | ESTADO
----------------------------------------
E01    | 31.0000  | 1.4208   | 56.1°C   | OK
E02    | 34.7500  | 1.3964   | 56.1°C   | OK
E03    | 37.2500  | 1.3660   | 56.1°C   | OK
E04    | 43.7500  | 1.3352   | 56.1°C   | OK
E05    | 47.5000  | 1.3047   | 56.1°C   | OK
E06    | 54.5000  | 1.2416   | 56.1°C   | OK
E07    | 62.0000  | 1.1575   | 56.1°C   | OK
E08    | 64.0000  | 1.0532   | 56.1°C   | OK
E09    | 68.2500  | 0.9305   | 56.1°C   | OK
E10    | 68.5000  | 0.8797   | 56.1°C   | OK
E11    | 69.7500  | 0.8284   | 56.1°C   | OK
E12    | 71.5000  | 0.7872   | 56.1°C   | OK
E13    | 71.0000  | 0.7331   | 56.1°C   | OK
E14    | 71.5000  | 0.6804   | 56.1°C   | OK
E15    | 71.5000  | 0.6265   | 56.1°C   | OK
E16    | 72.5000  | 0.6232   | 56.1°C   | OK
E17    | 72.7500  | 0.5822   | 56.1°C   | OK
E18    | 75.2500  | 0.5531   | 56.1°C   | OK
E19    | 77.2500  | 0.5235   | 56.1°C   | OK
E20    | 73.7500  | 0.4898   | 56.1°C   | OK
E21    | 76.7500  | 0.4821   | 56.1°C   | OK
E22    | 73.0000  | 0.4642   | 56.1°C   | OK
E23    | 81.0000  | 0.4691   | 56.1°C   | OK
E24    | 78.0000  | 0.4582   | 56.1°C   | OK
E25    | 79.7500  | 0.4332   | 56.1°C   | OK
E26    | 80.5000  | 0.3970   | 56.1°C   | OK
E27    | 78.0000  | 0.4076   | 56.1°C   | OK
E28    | 78.7500  | 0.4140   | 56.1°C   | OK
E29    | 79.7500  | 0.4112   | 56.1°C   | OK
E30    | 80.0000  | 0.4087   | 56.1°C   | OK
E31    | 80.0000  | 0.3974   | 56.1°C   | OK
E32    | 81.2500  | 0.4017   | 56.1°C   | OK
E33    | 83.5000  | 0.3971   | 56.1°C   | OK
E34    | 78.0000  | 0.4008   | 56.1°C   | OK
E35    | 82.7500  | 0.3873   | 56.1°C   | OK
E36    | 82.7500  | 0.3760   | 56.1°C   | OK
E37    | 80.7500  | 0.3779   | 56.1°C   | OK
E38    | 82.0000  | 0.3879   | 56.1°C   | OK
E39    | 81.0000  | 0.3812   | 56.1°C   | OK
E40    | 84.2500  | 0.3747   | 56.1°C   | OK
E41    | 84.0000  | 0.3584   | 56.1°C   | OK
E42    | 82.0000  | 0.3634   | 56.1°C   | OK
E43    | 83.5000  | 0.3677   | 56.1°C   | OK
E44    | 81.2500  | 0.3750   | 56.1°C   | OK
E45    | 81.5000  | 0.3854   | 56.1°C   | OK
E46    | 80.5000  | 0.4023   | 56.1°C   | OK
E47    | 84.5000  | 0.3848   | 56.1°C   | OK
E48    | 81.0000  | 0.3653   | 56.1°C   | OK
E49    | 83.0000  | 0.3635   | 56.1°C   | OK
E50    | 82.5000  | 0.3594   | 56.1°C   | OK
E51    | 82.2500  | 0.3637   | 56.1°C   | OK
E52    | 82.7500  | 0.3579   | 56.1°C   | OK
E53    | 83.0000  | 0.3560   | 56.1°C   | OK
E54    | 84.5000  | 0.3556   | 56.1°C   | OK
E55    | 83.5000  | 0.3552   | 56.1°C   | OK
E56    | 83.7500  | 0.3536   | 56.1°C   | OK
E57    | 84.5000  | 0.3620   | 56.1°C   | OK
E58    | 82.7500  | 0.3611   | 56.1°C   | OK
E59    | 82.7500  | 0.3583   | 56.1°C   | OK
E60    | 82.7500  | 0.3550   | 56.1°C   | OK
E61    | 84.0000  | 0.3535   | 56.1°C   | OK
E62    | 84.2500  | 0.3583   | 56.1°C   | OK
E63    | 84.7500  | 0.3562   | 56.1°C   | OK
E64    | 84.0000  | 0.3533   | 56.1°C   | OK
E65    | 86.2500  | 0.3537   | 56.1°C   | OK
E66    | 86.2500  | 0.3557   | 56.1°C   | OK
E67    | 86.5000  | 0.3537   | 56.1°C   | OK
E68    | 84.5000  | 0.3562   | 56.1°C   | OK
E69    | 84.7500  | 0.3543   | 56.1°C   | OK
E70    | 84.7500  | 0.3542   | 56.1°C   | OK
E71    | 85.0000  | 0.3561   | 56.1°C   | OK
E72    | 85.7500  | 0.3518   | 56.1°C   | OK
E73    | 85.5000  | 0.3562   | 56.1°C   | OK
E74    | 84.7500  | 0.3521   | 56.1°C   | OK
E75    | 84.5000  | 0.3556   | 56.1°C   | OK
E76    | 85.0000  | 0.3510   | 56.1°C   | OK
E77    | 85.2500  | 0.3514   | 56.1°C   | OK
E78    | 85.0000  | 0.3516   | 56.1°C   | OK
E79    | 85.5000  | 0.3544   | 56.1°C   | OK
E80    | 85.0000  | 0.3506   | 56.1°C   | OK
E81    | 84.7500  | 0.3507   | 56.1°C   | OK
E82    | 86.0000  | 0.3505   | 56.1°C   | OK
E83    | 85.2500  | 0.3515   | 56.1°C   | OK
E84    | 86.2500  | 0.3505   | 56.1°C   | OK
E85    | 85.5000  | 0.3503   | 56.1°C   | OK
E86    | 85.2500  | 0.3503   | 56.1°C   | OK
E87    | 85.5000  | 0.3518   | 56.1°C   | OK
E88    | 85.0000  | 0.3509   | 56.1°C   | OK
E89    | 86.5000  | 0.3506   | 56.1°C   | OK
E90    | 85.2500  | 0.3499   | 56.1°C   | OK
E91    | 85.0000  | 0.3504   | 56.1°C   | OK
E92    | 85.2500  | 0.3503   | 56.1°C   | OK
E93    | 85.7500  | 0.3514   | 56.1°C   | OK
E94    | 85.5000  | 0.3503   | 56.1°C   | OK
E95    | 85.2500  | 0.3511   | 56.1°C   | OK
E96    | 85.2500  | 0.3500   | 56.1°C   | OK
E97    | 84.0000  | 0.3498   | 56.1°C   | OK
E98    | 86.5000  | 0.3502   | 56.1°C   | OK
E99    | 85.2500  | 0.3520   | 56.1°C   | OK
E100    | 84.5000  | 0.3506   | 56.1°C   | OK
