Architecture,LR,Optimizer,Best_Acc,Final_F1,Timestamp
ResNet50,0.0001,Adam,72.25,0.7192074735586919,2026-02-12 16:04:05
ResNet50,0.0001,AdamW,71.25,0.7149818754072641,2026-02-12 16:04:29
ResNet50,5e-05,Adam,69.25,0.68214171794811,2026-02-12 16:04:50
ResNet50,5e-05,AdamW,70.0,0.692380678660231,2026-02-12 16:05:11
EfficientNet_V2_S,0.0001,Adam,71.0,0.7092198134224449,2026-02-12 16:05:40
EfficientNet_V2_S,0.0001,AdamW,72.25,0.7066370710290703,2026-02-12 16:06:08
EfficientNet_V2_S,5e-05,Adam,67.75,0.6758201559904673,2026-02-12 16:06:35
EfficientNet_V2_S,5e-05,AdamW,70.75,0.7010392470965158,2026-02-12 16:07:02
MobileNet_V3_Large,0.0001,Adam,63.5,0.6057926081625503,2026-02-12 16:07:22
MobileNet_V3_Large,0.0001,AdamW,58.25,0.562839389711604,2026-02-12 16:07:41
MobileNet_V3_Large,5e-05,Adam,60.25,0.592560359105083,2026-02-12 16:08:01
MobileNet_V3_Large,5e-05,AdamW,62.25000000000001,0.6192004063188274,2026-02-12 16:08:20
Fusion_R50_D121,0.0001,Adam,73.25,0.7278364129597797,2026-02-12 16:09:03
Fusion_R50_D121,0.0001,AdamW,73.0,0.7308451249651907,2026-02-12 16:09:45
Fusion_R50_D121,5e-05,Adam,70.5,0.7007657133947799,2026-02-12 16:10:27
Fusion_R50_D121,5e-05,AdamW,69.0,0.6605380872311716,2026-02-12 16:11:09
